Feed Name,Feed Attribute Name,System Data Element
Account Bridge,ACCOUNT_STATUS,Account Status
Account Bridge,BUSINESS_DATE,Business Date
Account Bridge,COST_CENTRE,Cost Center Identifier
Account Bridge,DEFAULT_SET_FLAG,Default Setting Indicator
Account Bridge,ENTRY_TS,Account Bridge Timestamp
Account Bridge,EXCEPTION_ROW_FLAG,Exception Row Indicator
Account Bridge,EXCEPTION_SIGNOFF,Exception Sign-off
Account Bridge,FILL_FORWARD_FLAG,Fill Forward Flag
Account Bridge,GL_ACCOUNT,General Ledger Account
Account Bridge,LEGAL_ENTITY,Legal Entity Identifier
Account Bridge,MATURITY_DATE,Maturity Date
Account Bridge,ROW_ID,Unique Identifier
Account Bridge,RUN_ID,Account Bridge Identifier
Account Bridge,TABLE_ID,Account Bridge Identifier
Account Bridge,TAPS_TRADING_ACCOUNT,Trading Account Identifier
BAAC,BAAC_BOOK_DETAIL,Booking Details
BAAC,BAAC_BUSINESS_AREA,Business Area
BAAC,BAAC_DESCRIPTION,Entity Description
BAAC,BAAC_DESK,Business Application Access Code
BAAC,BAAC_DIVISION,Division
BAAC,BAAC_PRODUCT_LINE,Product Line
BAAC,BAAC_REGION,Regional Designation
BAAC,BAAC_STRATEGY,Business Area Allocation Strategy
BAAC,BAAC_STRATEGY_DETAIL,Business Area Activity Code
BAAC,BUSINESS_DATE,Business Activity Date
BAAC,COST_CENTRE,Cost Center Code
BAAC,DEFAULT_SET_FLAG,Default Setting Flag
BAAC,DSP_ACC_ACTIVITY,Account Activity
BAAC,ENTRY_TS,Timestamp
BAAC,EXCEPTION_ROW_FLAG,Exception Row Indicator
BAAC,EXCEPTION_SIGNOFF,Exception Sign-off
BAAC,FILL_FORWARD_FLAG,Fill Forward Flag
BAAC,LEGAL_ENTITY,Legal Entity Identifier
BAAC,MATURITY_DATE,Bond Maturity Date
BAAC,PROCESS1,Business Activity Type
BAAC,PROCESS_2,Process Identifier
BAAC,ROW_ID,Unique Identifier
BAAC,RUN_ID,BAAC Run Identifier
BAAC,TABLE_ID,Table Identifier
BAAC,TAPS_TRADING_ACCOUNT,Trading Account Identifier
BAAC,TRADING_BOOK,Trading Book
Bank Deposits Program (BDP),ACCOUNT_NUMBER,Account Identifier
Bank Deposits Program (BDP),ACCOUNT_NUMBER,Account Identifier
Bank Deposits Program (BDP),ACCOUNT_TYPE,Account Type
Bank Deposits Program (BDP),ACCOUNT_TYPE,Account Type
Bank Deposits Program (BDP),ACCOUNT_TYPE_NAME,Account Type
Bank Deposits Program (BDP),ACCOUNT_TYPE_NAME,Account Type
Bank Deposits Program (BDP),ACCRUED_INTEREST,Accrued Interest
Bank Deposits Program (BDP),ACCRUED_INTEREST,Accrued Interest
Bank Deposits Program (BDP),BALANCE_TOTAL_AMT_USD,Account Balance
Bank Deposits Program (BDP),BALANCE_USD,Account Balance
Bank Deposits Program (BDP),BALANCE_USD,Account Balance
Bank Deposits Program (BDP),BANK_CODE,Bank Identifier
Bank Deposits Program (BDP),BAU_BALANCE_USD,BAU Balance
Bank Deposits Program (BDP),BUSINESS_ACCOUNT_INDICATOR,Business Account Indicator
Bank Deposits Program (BDP),BUSINESS_DATE,Business Date
Bank Deposits Program (BDP),BUSINESS_DATE,Business Date
Bank Deposits Program (BDP),BUSINESS_DATE,Business Date
Bank Deposits Program (BDP),BUSINESS_DATE,Business Date
Bank Deposits Program (BDP),CALL_PUT,Option Type
Bank Deposits Program (BDP),CASH_FLOW_DATE,Cash Flow Date
Bank Deposits Program (BDP),CDE_SOURCE,Source of Bank Deposit Data
Bank Deposits Program (BDP),CLIENT_TYPE,Client Type
Bank Deposits Program (BDP),CLIENT_TYPE,Client Type
Bank Deposits Program (BDP),CLR_HOUSE,Client Account Housekeeping
Bank Deposits Program (BDP),COST_CENTRE,Cost Center
Bank Deposits Program (BDP),COST_CENTRE,Cost Center
Bank Deposits Program (BDP),COST_CENTRE,Cost Center
Bank Deposits Program (BDP),COUNTERPARTY_ACCOUNT,Counterparty Account Number
Bank Deposits Program (BDP),COUNTERPARTY_TYPE,Counterparty Type
Bank Deposits Program (BDP),COUNTERPARTY_TYPE,Counterparty Type
Bank Deposits Program (BDP),COUNTERPARTY_TYPE_6G,Counterparty Type
Bank Deposits Program (BDP),COUNTERPARTY_TYPE_6G,Counterparty Type
Bank Deposits Program (BDP),CURRENCY,Currency
Bank Deposits Program (BDP),CURRENCY,Currency
Bank Deposits Program (BDP),CURRENCY,Currency
Bank Deposits Program (BDP),CURRENCY1,Currency Code
Bank Deposits Program (BDP),CURRENCY1_MX_AMOUNT,Currency 1 Amount
Bank Deposits Program (BDP),CURRENCY2,Currency Code
Bank Deposits Program (BDP),CURRENCY2_MX_AMOUNT,Currency Amount
Bank Deposits Program (BDP),CUSIP,CUSIP
Bank Deposits Program (BDP),CUSIP,CUSIP
Bank Deposits Program (BDP),DEAL_ID,Unique Deal Identifier
Bank Deposits Program (BDP),DEFAULT_SET_FLAG,Default Setting Indicator
Bank Deposits Program (BDP),DEFAULT_SET_FLAG,Default Setting Indicator
Bank Deposits Program (BDP),DEFAULT_SET_FLAG,Default Setting Indicator
Bank Deposits Program (BDP),DEFAULT_SET_FLAG,Default Setting Indicator
Bank Deposits Program (BDP),DELIVERABLE_IND,Delivery Status
Bank Deposits Program (BDP),END_DATE,Deposit Expiration Date
Bank Deposits Program (BDP),ENTRY_TS,Bank Deposit Timestamp
Bank Deposits Program (BDP),ENTRY_TS,Bank Deposit Timestamp
Bank Deposits Program (BDP),ENTRY_TS,Bank Deposit Timestamps
Bank Deposits Program (BDP),ENTRY_TS,Bank Deposit Timestamp
Bank Deposits Program (BDP),EXCEPTION_ROW_FLAG,Exception Row Indicator
Bank Deposits Program (BDP),EXCEPTION_ROW_FLAG,Exception Row Indicator
Bank Deposits Program (BDP),EXCEPTION_ROW_FLAG,Exception Row Indicator
Bank Deposits Program (BDP),EXCEPTION_ROW_FLAG,Exception Row Indicator
Bank Deposits Program (BDP),EXCEPTION_SIGNOFF,Exception Sign-off
Bank Deposits Program (BDP),EXCEPTION_SIGNOFF,Exception Sign-off
