Feed Name,Attribute ID,Attribute Name,Feed ID,Technical Data Type,Technical Data Values,Collibra Catalog ID,DGC Data Element,Definition,One Hop Column(s)
Derivatives Positions,T-3-ROW_ID,ROW_ID,3,Integer,208 - 1416701,,Row ID,The row identifier of the dataset.,
Derivatives Positions,T-3-RUN_ID,RUN_ID,3,Integer,1265582 - 1265582,,Run ID,The run number for the table of information.,
Derivatives Positions,T-3-TABLE_ID,TABLE_ID,3,Integer,3/3/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
Derivatives Positions,T-3-BUSINESS_DATE,BUSINESS_DATE,3,String,8/21/2023 0:00,,COB Date,Close of business date for which the report is run.,
Derivatives Positions,T-3-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,3,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
Derivatives Positions,T-3-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,3,String,N,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
Derivatives Positions,T-3-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,3,String,N,,Exception Row Flag,,
Derivatives Positions,T-3-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,3,String,Y,,Exception Signoff,,
Derivatives Positions,T-3-MATURITY_DATE,MATURITY_DATE,3,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
Derivatives Positions,T-3-ENTRY_TS,ENTRY_TS,3,Datetime,2023-08-22 02:41:47.391669 - 2023-08-22 02:41:47.391669,,Entry TS,,
Derivatives Positions,T-3-REPORTING_DATE,REPORTING_DATE,3,String,8/21/2023 0:00,,Reporting Date,,
Derivatives Positions,T-3-LEGAL_ENTITY,LEGAL_ENTITY,3,String,201,,Entity Code,,
Derivatives Positions,T-3-TAPS_TRADING_ACCOUNT,TAPS_TRADING_ACCOUNT,3,String,None,,TAPS Trading Account,The firm trading account of the position.,
Derivatives Positions,T-3-TRADE_ID,TRADE_ID,3,String,6M2CRI,,Trade ID,,
Derivatives Positions,T-3-COUNTERPARTY_ACCOUNT,COUNTERPARTY_ACCOUNT,3,String,0570008Q7,,Counterparty Account,,
Derivatives Positions,T-3-FLOW_IND,FLOW_IND,3,String,B,,,,
Derivatives Positions,T-3-TRADE_DATE,TRADE_DATE,3,String,8/21/2023 0:00,,Trade Date,,
Derivatives Positions,T-3-START_DATE,START_DATE,3,String,None,,Start Date,,
Derivatives Positions,T-3-END_DATE,END_DATE,3,String,8/23/2023 0:00,,End Date,The end/maturity date of the financial instrument.,
Derivatives Positions,T-3-NOTIONAL_USD,NOTIONAL_USD,3,Float,0.0 - 14589352124.9,,,,
Derivatives Positions,T-3-CUSIP,CUSIP,3,String,None,,CUSIP,The CUSIP identifier of the instrument.,
Derivatives Positions,T-3-COLLATERAL_IND,COLLATERAL_IND,3,String,N,,,,
Derivatives Positions,T-3-MARKET_VALUE_MX,MARKET_VALUE_MX,3,Float,-44519178318,,Market Value,,
Derivatives Positions,T-3-OTC_LISTED_FLAG,OTC_LISTED_FLAG,3,String,OTC,,,,
Derivatives Positions,T-3-BUSINESS_AREA,BUSINESS_AREA,3,String,FX,,Business Area,,
Derivatives Positions,T-3-PRODUCT,PRODUCT,3,String,FXSPOT,,Product,,
Derivatives Positions,T-3-EXCHANGE_ID,EXCHANGE_ID,3,String,None,,,,
Derivatives Positions,T-3-PRICE,PRICE,3,Float,-8190603.1,,Price,,
Derivatives Positions,T-3-CURRENCY,CURRENCY,3,String,CZK,,Currency,The currency the values are respresented in.,
Derivatives Positions,T-3-NETTING_ID,NETTING_ID,3,String,None,,,,
Derivatives Positions,T-3-PARTY_ID,PARTY_ID,3,String,BBB01629429,,Party ID,,
Derivatives Positions,T-3-UPFRONT_MX,UPFRONT_MX,3,Float,0.0 - 134721968.23,,,,
Derivatives Positions,T-3-FLAG_15A6,FLAG_15A6,3,String,N,,,,
Derivatives Positions,T-3-PRIMARY_ACCOUNT,PRIMARY_ACCOUNT,3,String,None,,Primary Account,,
GL Accounts,T-4-ROW_ID,ROW_ID,4,Integer,1 - 122035,,Row ID,The row identifier of the dataset.,
GL Accounts,T-4-RUN_ID,RUN_ID,4,Integer,1238648 - 1238648,,Run ID,The run number for the table of information.,
GL Accounts,T-4-TABLE_ID,TABLE_ID,4,Integer,4/4/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
GL Accounts,T-4-BUSINESS_DATE,BUSINESS_DATE,4,String,2/27/2023 0:00,,COB Date,Close of business date for which the report is run.,
GL Accounts,T-4-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,4,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
GL Accounts,T-4-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,4,String,N,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
GL Accounts,T-4-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,4,String,Y,,Exception Row Flag,,
GL Accounts,T-4-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,4,String,N,,Exception Signoff,,
GL Accounts,T-4-MATURITY_DATE,MATURITY_DATE,4,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
GL Accounts,T-4-ENTRY_TS,ENTRY_TS,4,Datetime,2023-02-27 11:32:15.894564 - 2023-02-28 05:39:27.029876,,Entry TS,,
GL Accounts,T-4-ORGANIZATIONAL_STRUCTURE,ORGANIZATIONAL_STRUCTURE,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT,GL_ACCOUNT,4,String,*         ,,GL Account,,
GL Accounts,T-4-GL_ACCOUNT_DESCRIPTION,GL_ACCOUNT_DESCRIPTION,4,String,None,,GL Account Description,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_1,GL_ACCOUNT_LEVEL_1,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_2,GL_ACCOUNT_LEVEL_2,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_3,GL_ACCOUNT_LEVEL_3,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_4,GL_ACCOUNT_LEVEL_4,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_5,GL_ACCOUNT_LEVEL_5,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_6,GL_ACCOUNT_LEVEL_6,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_7,GL_ACCOUNT_LEVEL_7,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_8,GL_ACCOUNT_LEVEL_8,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_9,GL_ACCOUNT_LEVEL_9,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_10,GL_ACCOUNT_LEVEL_10,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_11,GL_ACCOUNT_LEVEL_11,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_12,GL_ACCOUNT_LEVEL_12,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_13,GL_ACCOUNT_LEVEL_13,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_14,GL_ACCOUNT_LEVEL_14,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_15,GL_ACCOUNT_LEVEL_15,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_16,GL_ACCOUNT_LEVEL_16,4,String,None,,,,
GL Accounts,T-4-GL_ACCOUNT_LEVEL_17,GL_ACCOUNT_LEVEL_17,4,String,None,,,,
Cost Centres,T-5-ROW_ID,ROW_ID,5,Integer,1 - 58808,,Row ID,The row identifier of the dataset.,
Cost Centres,T-5-RUN_ID,RUN_ID,5,Integer,1207732 - 1238652,,Run ID,The run number for the table of information.,
Cost Centres,T-5-TABLE_ID,TABLE_ID,5,Integer,5/5/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
Cost Centres,T-5-BUSINESS_DATE,BUSINESS_DATE,5,String,8/8/2022 0:00,,COB Date,Close of business date for which the report is run.,
Cost Centres,T-5-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,5,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
