Feed Name,Feed ID,Feed Type,Active Status,Feed Description,Feed Scope Description,Assessment Status,Server Name,Schema Name,Table Name,Reporting Usages,Feed Source EONID,Feed Source Name,Feed Folder,Feed Arrival SLA,System EONID,Authorized Re-Distributer,Data Concept,Boundary,Authority Aligned,Entity Scope,Product Mapping,Feed Priority,Control Owner,Feed Instance,Sourcing Method,Feed Arrival ETA,Business Owner,Tech Owner,Primary IT Contact
Derivatives Positions,3,Feed,Active,"OTC Derivatives positions, Mark to Market values and Portfolio Details.                                                                                                                      ",All ISG OTC derivative trades.,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_DERIV_POSITIONS_PART,PRA110;ILST;ILST - UK;SSMLT,3759,E*GTS,egtspositions,08:00 LNT,12659.0,   ,"

1) Market Value 2) Trade Date Position",​1) ISG+OTC Derivatives 2) ISG+OTC Derivatives,Yes,MSBNA/MSPBNA,Derivatives - OTC,High,FSS-Data Services,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
GL Accounts,4,Feed,Active,"

Hierarchy that organizes Firm's activities by General Ledger (GL) Accounts and is used to prepare the Firm's financial statements.","

All Morgan Stanley Legacy GL accounts.
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_GL_ACCOUNTS,LCR -UK;NSFR U.S.,199,ATLAS,gl_accts,17:00 LNT,12659.0,,​GL Account Hierarchy,All divisions,Yes,MSBNA/MSPBNA,Reference Data,,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Cost Centres,5,Feed,Active,"

The Firm's business activity hierarchy, used for organizing Firm activities for internal and external reporting purposes.","
All Morgan Stanley cost centers.",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_COST_CENTRE,5G;6G;ALMM C66;LCR -UK;RFM;NSFR U.S.,199,ATLAS,cost_centre,17:00 LNT,12659.0,,​Cost Center Hierarchy,All divisions​,Yes,MSBNA/MSPBNA,Reference Data,,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
BAAC,6,Feed,Active,"​This feed contains the following fields: Legal Entity Code, Taps Trading Account, Cost Centre, BAAC Desk, BAAC Book Detail, BAAC Division, BAAC Business Area, BAAC Description - and will be used to enrich feeds, which have a Taps Trading Account and Cost Centre value from BAAC.",Firm account issued from BAAC sub-set,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_BAAC,,3258,Datalink (SRD),edg_baac,23:30 GMT,12659.0,Via A2,Sub-Ledger Account,​All,Yes,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
TAPS Account Data,7,Feed,Active,​Provides the general account usages which will indicate if the TAPS accounts are Firm or Client.,"All feeds which have a Taps Trading Account or Counterparty Taps Account will be enriched with the following data: Legal Entity Code, TAPS Account, Cost Centre, Counterparty ID, Account Category, Account Name, Business Division, Business Definitions, General Account Usage, Specific Account Usage, Account Status, Banking/Trading Indicator, Legal Entity Banking Trading  Indicator, Group Banking Trading Indicator.",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_TAPS_ACCOUNT_DATA,5G;6G;ALMM;ALMM C66;LCR -UK;RFM;NSFR U.S.,3258,Datalink (SRD),,09:10 LNT,12659.0,,​Sub-Ledger Account,​No Boundary,Yes,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Legal Entities,8,Feed,Active,The feed will help to identify which legal entities are part of which Defined Liquidity Group.,This feed will provide a list of all Legal Entities at Morgan Stanley. ,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_LEGAL_ENTITY,5G;6G;ALMM;ALMM C66;LCR -UK;RFM;NSFR U.S.,3258,Datalink (SRD),edg_entities,23:10 LNT,12659.0,​Lexi,​MS Legal Entity,​All divisions,Yes,MSBNA/MSPBNA,Reference Data,,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Defined Liquidity Groups,9,Manual,Active,​This feed will be used to identify which legal entity codes are part of which Defined Liquidity Group.,This will provide a list of defined liquidity groups per legal entity.  One legal entity may belong to multiple DLG Groups.  There may be up to 20 different defined liquidity groups.  Users will need the ability to update this list on a daily basis.,Not in Scope,nyqd_lmfr_ate,LIQUIDITY,HUB_DLG,5G;6G;NSFR U.S.,12659,LiquityHub,dlg,23:30 LNT,12659.0,,​Defined Liquidity Group,,Yes,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Krishna Ramanan
Central Bank Access,10,Manual,Active,​List of legal entities and the central banks it has direct access to. Manually maintained in LH,,Not in Scope,nyqd_lmfr_ate,LIQUIDITY,HUB_CENTRAL_BANK_ACCESS,Reference Feed (No Direct Reporting Usage),12659,LiquityHub,central_bank_access,23:30 LNT,12659.0,,,,,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Product Data,11,Feed,Active,​This feed will be used to enrich security position records based on cusip.,To provide product level information for each security position which contains a cusip.,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_PRODUCT_DATA,5G;6G;ALMM;ALMM C66;LCR -UK;RFM;NSFR U.S.,3258,Datalink (SRD),,09:00 LNT,12659.0,​Prism,​Product,All product types,Yes,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Sanjai Agarwal
Product Ratings,12,Feed,Active,​This feed will be used to enrich each security with issuer and issue rating information.,Identifies the rating of the security.,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_PRODUCT_RATING,5G;6G;RFM;NSFR U.S.,3258,Datalink (SRD),,09:00 LNT,12659.0, Prism  ,​Credit Rating for Issues,Div : ISG,Yes,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Sanjai Agarwal
