Report Table Group,Report Table Name,Attribute ID,Attribute Name,Technical Data Type,Regulatory Requirement,Collibra Catalog ID,DGC Data Element,Logic,Reporting Entities,Reporting Data Concept
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Reporting_Entity,Reporting Entity,String,Yes,,,Derived from DLG mapping logic,,
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Product,Product,String,Yes,,,"""Unencumbered Assets”",,
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Sub-Product,Sub-Product,String,No,,,,,
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Market_Value,Market Value,Float,Yes,,,"Where OOFA Use, if Converted is “true” then USD OOFA Market Value, else MX OOFA Market Value
Where Loan IQ - Drawn Feed, GWM Loans PLA/LAL Feed, GWM Mortgages Feed, GWM Loans – TL Feed or CRE Loans Feed, and Traders Value not 0, if Converted is “true”, then Traders Value USD else Traders Value MX. When Traders Value is 0, if Converted is “true”, then Loan Amount Funded USD else Loan Amount Funded MX (for Loan IQ – Drawn Feed all values prorated by collateral ratio if collateral from FDW Loans Collateral Feed = Y)
Where PWM Loans and Deposits Feed, if Converted is “true”, then USD Amt else MX Amt
Where Employee Loans Feed, Loan Amount USD 
Where ETrade LOC Feed, Maturity Amount",LCR Firm; NSFR Firm,HQLA; RSF
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Lendable_Value,Lendable Value,Float,Yes,,,"Where OOFA, if Converted is “true” then USD OOFA Market Value else MX OOFA Market Value, Haircut on the basis of Firm Internal Rates and Ratios (where no Ratio, based upon RAG: SG 2%, G 10%, A 15% & R (or blank) 20%)

Where not OOFA, 80% of Market Value (for Loan IQ-Drawn feed, prorated by collateral ratio if collateral from FDW Loans Collateral Feed = Y)",,
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Maturity_Bucket,Maturity Bucket,String,Yes,,,"Where OOFA, Maturity Date of the CUSIP, else where GWM Loans - TL Feed, GWM Mortgages Feed, CRE Loans or ETrade LOC Feed, “P0D”, else based upon Maturity Date",,
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Forward_Start_Amount,Forward Start Amount,Float,No,,,0,NSFR Firm,ASF
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Forward_Start_Bucket,Forward Start Bucket,String,No,,,,,
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Collateral_Class,Collateral Class,String,Yes,,,"Where Employee Loans Feed, L-8
Where GWM Mortgages Feed, “L-3”
Determined using Asset Categorization (App C-II), else as per Loans Collateral Class  (defaulting to “L-8”)",,
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA1-Treasury_Control,Treasury Control,String,Yes,,,"OOFA Use Treasury Control Flag, else “false”",,
