Target Report Table Group,Target Report Table Name,Source Report Table Group,Report Table Name
6G - Product,6G - Inflows - Assets - Capacity,6G - Order of Allocation,6G - Order of Allocation - Firm Long
6G - Product,6G - Inflows - Assets - Capacity,6G - Order of Allocation,6G - Order of Allocation - Unencumbered Central Bank Prepositioned
6G - Product,6G - Inflows - Assets - Capacity,6G - Order of Allocation,6G - Order of Allocation - Unencumbered IP FHLB
6G - Product,6G - Inflows - Assets - Capacity,6G - Order of Allocation,6G - Order of Allocation - Unencumbered IP FRB
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Client Short PB
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Client Short WM
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Customer Affiliate Short
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Firm Bank Loans
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Firm Short
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - House IM Posted
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - House VM Posted
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - House VM Posted Excess
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Lockup
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - NCSA Short
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - PDS Short
6G - Product,6G - Inflows - Assets - Encumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Stock Loan
6G - Product,6G - Inflows - Assets - Unencumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Firm Long
6G - Product,6G - Inflows - Assets - Unencumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Client Depot
6G - Product,6G - Inflows - Assets - Unencumbered Assets,6G - Order of Allocation,6G - Order of Allocation - Unencumbered Firm
