Report Table Group,Report Table Name,Report Table ID,Reporting Class,Server Name,Schema Name,Table Name,Products,Feed ID,Feed Name,Source Report Table Name,Logic
6G - Product,6G - Inflows - Assets - Capacity,RT-6G-IA-2,6G,nyqd_lmfr_ate,,,Capacity,33; N/A,Loan IQ - Drawn; Federal Home Loan Bank of New York Statement,6G - Order of Allocation - Firm Long; 6G - Order of Allocation - Unencumbered Central Bank Prepositioned; 6G - Order of Allocation - Unencumbered IP FHLB; 6G - Order of Allocation - Unencumbered IP FRB,"OOFA Use in (""UNENC_IP_FRB"", ""UNENC_CENTRAL_BANK_PREPOSITIONED"", ""UNENC_IP_FHLB"") and OOFA Source is “Firm Long” (App C-III)

Loan IQ - Drawn Feed, where Pledge Status is “PLEDG” and Loan Amount Funded USD > 0

Manual Dataset, derived from FHLB NY Statement"
6G - Product,6G - Inflows - Assets - Encumbered Assets,RT-6G-IA-7,6G,nyqd_lmfr_ate,,,Encumbered Assets,89; N/A,Internal Coverage; Federal Home Loan Bank of New York Statement,6G - Order of Allocation - Client Short PB; 6G - Order of Allocation - Client Short WM; 6G - Order of Allocation - Customer Affiliate Short; 6G - Order of Allocation - Firm Bank Loans; 6G - Order of Allocation - Firm Short; 6G - Order of Allocation - House IM Posted; 6G - Order of Allocation - House VM Posted; 6G - Order of Allocation - House VM Posted Excess; 6G - Order of Allocation - Lockup; 6G - Order of Allocation - NCSA Short; 6G - Order of Allocation - PDS Short; 6G - Order of Allocation - Stock Loan,"OOFA Use NOT in (""UNENC_DEFUNDED"", ""UNENC_FIRM"", ""UNENC_INVESTMENT_PORTFOLIO"", ""UNENC_OVERBORROW"", “UNENC_TREASURY_SEC_POOL"", “UNENC_CENTRAL_BANK_PREPOSITIONED"", ""CLIENT_DEPOT"", ""UNENC_IP_FRB"", ""UNENC_IP_FHLB"") and OOFA Source is “Firm Long” (App C-III) [Report MS Issued Securities on the basis of CUSIP Issuer Party ID not issued within the same DLG and Ultimate Counterparty ID is “BBB00319701”]

Internal Coverage Feed, where SOURCE_TYPE is “Firm”, LONG_SHORT_CODE is “L”, PRODUCT_HIERARCHY_LEVEL_1 NOT in (“Cash And Other Equivalents”, “Derivative Contracts”, “DO NOT POST”), PRODUCT NOT “123456808”, SOURCE is “Regulatory Investment Portfolio” and (DLG_TYPE is “CONSOLIDATED” OR DLG_ID is NOT NULL)

Manual Product, adjusted from I.A.2, where securities collateral is pledged at the Federal Home Loan Bank of New York  and/or Federal Reserve Bank"
6G - Product,6G - Inflows - Assets - Forward Asset Purchases,RT-6G-IA-6,6G,nyqd_lmfr_ate,,,Forward Asset Purchases,48; 330,Pending Trades; Failed Settlements,,"Pending Trades Feed, where Trade Date <= Reporting Date, Start Date > Reporting Date, End Date >= Reporting Date, Product Hierarchy Level 1 not “Derivative Contracts” or “Referential Instruments”, CUSIPs not like 99X%, RW NRW  is “NRW” and (Net Buy Trades  or (Nettable is “False” and Flow Ind is “B”)) 

Failed Settlements Feed, where Global COA Level 2 = “LIABILITIES” and PL Date – Settlement Date > 5 working days"
6G - Product,6G - Inflows - Assets - Restricted Reserve Balances,RT-6G-IA-4,6G,nyqd_lmfr_ate,,,Restricted Reserve Balances,44; 256,Triton Money Markets; BTB Cash,,"BTB Cash and Triton Money Markets TH Feeds, where Entity Type is “Central Bank”, Feed Product is not in (“OVERDRAFT”,”REC”) [BTB Cash only] and TenQ Level 4 is in (“Segregated Cash”, ”Non-Interest Bearing Segregated Cash”, ”Interest Bearing Segregated Cash”)  "
6G - Product,6G - Inflows - Assets - Unencumbered Assets,RT-6G-IA-1,6G,nyqd_lmfr_ate,,,Secured Loans; Unsecured Loans,33; 125; 142; 180; 186; 187; 213; 331; 336,Loan IQ - Drawn; GWM Mortgages; CRE Loans; PWM Loans and Deposits; GWM Loans - TL; GWM Loans - PLA/LAL; Employee Loans; ETrade LOC; Loans Collateral,6G - Order of Allocation - Firm Long; 6G - Order of Allocation - Client Depot; 6G - Order of Allocation - Unencumbered Firm; 6G - Order of Allocation - Unencumbered Investment Portfolio; 6G - Order of Allocation - Unencumbered Overborrow; 6G - Order of Allocation - Unencumbered Treasury Sec Pool,"OOFA Use in (“CLIENT_DEPOT"", ""UNENC_FIRM"", ""UNENC_TREASURY_SEC_POOL"", ""UNENC_INVESTMENT_PORTFOLIO"", ""UNENC_OVERBORROW"", ""UNENC_DEFUNDED"") AND OOFA Source is “Firm Long” (App C-III)

Secured Loans
Loan IQ-Drawn Feed, Accrual Status not “NACC” or ""NAIFP"", Maturity Date > Reporting Date, Is Being Renewed is “N”, Market Value Ccy USD <= 0, MX AMT > 0, Risk Type not “Interest Only Strip”, collateral From FDW Loans Collateral Feed = N and Term Indicator is “Y” 
(Market Value Ccy USD <= 0 excludes data with pro-rated collateral)
Loan IQ-Drawn Feed, Accrual Status not “NACC” or ""NAIFP"", Maturity Date > Reporting Date, Is Being Renewed is “N”, MX AMT > 0, Risk Type not “Interest Only Strip”, collateral From FDW Loans Collateral Feed = Y and Term Indicator is “Y”
GWM Loans PLA/LAL Feed, where Loan Type is in (“PL”, NULL, ""NPL"") and Loan Coll Ind is “C”
GWM Loans - TL Feed, where Loan Amount Funded MX > 0 and Collateral Value > 0
GWM Mortgages Feed, where Mortgage Lifecycle is “Long” and Collateral Value > 0 
CRE Loans Feed, where Status Loans is in (“Long”, ""Sold Forward"") and Product Type not “IO Strip”
ETrade LOC Feed [No Restrictions]

Unsecured Loans
Loan IQ - Drawn Feed, where Risk Type not “Interest Only Strip”, Accrual Status not “NACC” or “NAIFP”, Maturity Date > Reporting Date, MX AMT > 0, Is Being Renewed is “N”  MarketValueCcyUSD <= 0,  collateral From FDW Loans Collateral Feed = N Pledge Status is not “PLEDG” and Loan Amount Funded USD > 0 
Loan IQ - Drawn Feed, where Risk Type not “Interest Only Strip”, Accrual Status not “NACC” or “NAIFP”, Maturity Date > Reporting Date, MX AMT > 0, Is Being Renewed is “N”,  collateral From FDW Loans Collateral Feed= Y Pledge Status is not “PLEDG” and Loan Amount Funded USD >   0

PWM Loans and Deposits Feed, where Counterparty BBB ID is not NULL and PB Cash Value USD > 0 (on Legal Entity, Counterparty BBB ID and Currency Basis)
GWM Loans – TL Feed, where Loan Amount Funded MX > 0, Collateral Value = 0 and Loan Coll Ind is “C”
Employee Loans Feed, where Performing is “Performing”"
6G - Product,6G - Inflows - Assets - Unrestricted Reserve Balances,RT-6G-IA-3,6G,nyqd_lmfr_ate,,,Unrestricted Reserve Balances,44; 256,Triton Money Markets; BTB Cash,,"BTB Cash Feed, where Version is “DailyEtrade”, Entity Type not “Central Bank”, Feed Product not in (“OVERDRAFT”,”DREC”), TenQ Level 4 in (“Interest Bearing Dep With Clr Orgs”, “Non-Interest Bearing Dep With Clr Orgs”, ""Brokers Dealers and Clearing Orgs Rec"") and 
ADJUSTED_USD_AMT >= 0
(Determined by Business Date, Legal Entity, Party ID, Currency and Product Type)"
6G - Product,6G - Inflows - Assets - Unsettled Asset Purchases,RT-6G-IA-5,6G,nyqd_lmfr_ate,,,Unsettled Asset Purchases,48; 330,Pending Trades; Failed Settlements,,"Pending Trades Feed, where Trade Date <= Reporting Date, Start Date > Reporting Date, End Date >= Reporting Date, Product Hierarchy Level 1 not “Derivative Contracts” or “Referential Instruments”, CUSIPs not like 99X%, RW NRW  is “RW” and (Net Buy Trades  or (Nettable is “False” and Flow Ind is “B”)) 
Failed Settlements Feed, where Global COA Level 2 = “LIABILITIES” and PL Date – Settlement Date <= 5 working days"
6G - Product,6G - Inflows - Other - Collateral Called for Receipt,RT-6G-IO-2,6G,nyqd_lmfr_ate,,,Collateral Called for Receipt,87,Portfolio Agreement,,"Portfolio Agreement Feed, where Task Type is “Margin Call Action” and Margin Call Date not NULL"
6G - Product,6G - Inflows - Other - Derivative Receivables,RT-6G-IO-1,6G,nyqd_lmfr_ate,,,Derivative Receivables,94,CVA Expected Cashflows,,"CVA Expected Cashflows Feed
Scenario is ""Base"" and Reporting Plane ID is 0 and Feed Version is ""uncoll"" and Metric like (CFPAY%, CFRECEIVE%)) or (Feed Version is ""ra"", Time Horizon >=271, Time Horizon <=365 and Metric like PECF_%)) and Not on exclusion list
Exclusion list is based on following Netting id:
2546547, 2546546, 0617U0NZ6, 0617U0O02, 0617U0AX5, 0617U0AV9     
Netting:
- Single value calculated (as driven by Net Gross Indicator as “N” or “G” for Netting Allowed or Disallowed) per Netting ID, Time Horizon, Currency and (for Net Gross Indicator as “G”) Metric > 0 then report under I.O.1 
- Netting is on a Netting Group ID, Counterparty and Time Horizon Basis. For currency reporting, netting is also based on currency.
Netting group IDs starting with ETP% are considered for netting, where Net Gross Indicator is “N”.
Netting group IDs starting with ETP% are not considered for netting, where Net Gross Indicator is “G”.   "
6G - Product,6G - Inflows - Other - Interest and Dividends Receivable,RT-6G-IO-6,6G,nyqd_lmfr_ate,,,Interest and Dividends Receivable,43; 207; 208,Triton Sub-Debt; Interest Payable-Receivable; Dividends Payable-Receivable,,"Dividends Payable-Receivable & Interest Payable-Receivable Feeds, where GL Account begins “1”
Triton Sub-Debt Feed where MX Cash Value > 0"
