Feed Source Name,Feed Source EONID,Galaxy Resource Name,Source Short Name,Description,Primary Technology System Owner,Dev Mail Group,TAI Link,Relevant Link
Agiliance RiskVision,288040,grn:/ms/etrade/AgilianceRiskVision,RiskVision,Central Application for Governance and Risk initiatives.  Workflow and reporting tool for risk and compliance efforts.,,,http://taisc.webfarm.ms.com/ui/#/asset/288040,
aliasDB,1140,grn:/ms/ei/appmgmt/aliasDB,ALIAS,,,,,
AQUA,7705,grn:/ms/pb/funding/AQUA,AQUA,US Aqua components cover (1) daily SEC 15c3-3 customer reserve; (2) daily and monthly SEC 15c3-1 securities haircuts; 3) Short Interest reporting and 4) Various reports for ORC to adhere to regulatory rules. Aqua Client Money (AquaCM) components calculate the daily client money lockup & generation of monthly submissions required by the FCA.  It is also responsible for calculation of client money lockup for European Regulators. Entitlements for the each regional business process are controlled separately via http://getAccess.,Christopher Wilde,aquadev,http://taisc.webfarm.ms.com/ui/#/asset/7705,http://wiki.ms.com/AQUA/AQUADataFlowDiagram
Argent-PPA,297085,grn:/ms/im/ppa/Argent-PPA,Argent,,,,,
Arranging,5713,grn:/ms/pb/finance/arranging,Arranging,"Arranging is a Prime Brokerage application that provides enhanced leverage to clients by converting MSCO short and long positions into stock loans or borrows on PDS (Prime Dealer Services). The selection of long positions to use as collateral or borrows is optimized to benefit the firm. 

The core processing involves identifying positions that meet all business constraints and moving positions from MSCO to PDS via journals. It also involves supporting other activities that affect the PDS positions such as mark to market, trades and dividends.

The major inputs used in the system are pulled from Libra, RTM, Trades, Products, Pricing, Lexor, GIM, SAFE and Corporate actions.  The major downstream consumers of Arranging activity are Libra, RTM, GIM, PAS, SAFE, Stock Loan and Debit Prediction.

The primary users are Prime Brokerage Finance and Prime Brokerage Margin Operations. They currently use a secured mainframe UI to set up or view system data that will be replaced with a web-based UI in the near future.",Stella Bantug,arrangeit-dev,http://taisc.webfarm.ms.com/ui/#/asset/5713,http://wiki.ms.com/Settlements/Arranging
ATLAS,199,grn:/ms/company/controllers/Company/Atlas,ATLAS,Hierarchical data management tool used by Finance Controllers Group to maintain several management reporting structures including Consolidated Cost Center structure and Global COA structure.,Sonal Kumar,gird_dev,http://taisc.webfarm.ms.com/ui/#/asset/199,http://wiki.ms.com/AtlasTC/WebHome
Balance Sheet Data,422,grn:/ms/company/controllers/wise/datasource/BalanceSheetData,,,,,,
Bank Resource Management (MSSB mainframe),31374,grn:/ms/gwm/BRM_MSSB,BRM_MSSB,"Application provides data to corporate treasury BRM Metrics and Liquidity Hub warehouse for regulator reporting such as the FED 4G.
BRM is simply a pass through application for Four files that are passed to ISG for consumption in their BRM matrix and Liquidity Hub System. The Four files are Stock Loan, Bony (Client & Firm), Smart Loan, Repo Shell & Repo allocation. If there are delays for BRM receiving these files then it can impact the ISG jobs that are expecting the reformatted data on these files. The end user of the application is BRM Metrics & Reporting (17823).",Ashish Depankaj,acxdev,http://taisc.webfarm.ms.com/ui/#/asset/31374,http://taisc.webfarm.ms.com/ui/#/asset/31374
Basel,7324,grn:/ms/stp/treasury/RegulatoryCompliance/Basel,,,,,,
BaselHub,24098,grn:/ms/gwm/BaselHub,BaselHub,"BaselHub calculates Probability of Default (PD), Loss Given Default (LGD) and Exposure at Default (EAD) values for WM Securities Based Lending products - Core Margin, ECL (Broker Dealer) & PLA & LAL (Bank). These PD, LGD & EAD are required for the Regulatory Capital calculation purposes. Credit department and Finance department are the main BUs for the Basel application. This application is dependent on EDW RTA (Real Time Accounting) for positions and Balances, MGS for Margin related data including Margin Calls, Bank IT for PLA/LAL loans related data. EDW for all reference data including Account / Security reference data.",Maninder Pahwa,teradw_cclr,http://taisc.webfarm.ms.com/ui/#/asset/24098,http://wiki.ms.com/Baselhub/WebHome
