Feed Name,Feed Source Name
Derivatives Positions,E*GTS
GL Accounts,ATLAS
Cost Centres,ATLAS
BAAC,Datalink (SRD)
TAPS Account Data,Datalink (SRD)
Legal Entities,Datalink (SRD)
Defined Liquidity Groups,LiquityHub
Central Bank Access,LiquityHub
Product Data,Datalink (SRD)
Product Ratings,Datalink (SRD)
FX Rates,Datalink (SRD)
Phoenix Funding Pools,Market1
Phoenix Funding Rates,Market1
Counterparty Details,Datalink (SRD)
PB Free Cash,Wire-D
Derivatives Collateral,E*GTS
IPB Free Cash Balances,IPBFinance
TAPS Cash at Bank,BaselHub
Loan IQ - Pending,LoanIQ (SPG)
Loan IQ - Drawn,LoanIQ (SPG)
Loan IQ - Undrawn,LoanIQ (SPG)
Unencumbered Assets - AS,Global Inventory Manager
Unencumbered Assets - EU,Global Inventory Manager
Unencumbered Assets - NA,Global Inventory Manager
GL Only Cash,Basel
GWM Cash,Basel
Triton Sub-Debt,Triton/Avalon
Triton Money Markets,Triton/Avalon
Downgrade Triggers,E*GTS
Pending Trades,TAPS_EUR
Listed Derivatives,LD Data Hubs
Omni Taps Transactions,Finance Data Warehouse
Fails,SafeMetrics
Letters of Credit,Global Creditor Relations LC (Letter of Credit)
Cross Currency Cashflows,WISE Warehouse
PWM Margin Lending,RTM -- Portfolio Margin
FX Cashflows Fwd,DerivOne
FX Cashflows Spot,DerivOne
MS Issued Securities,LEXI
Physical Commodities,WISE Warehouse
Eligible Securities - BOE,FID1
Eligible Securities - ECB,FID1
Stock Loan - BRM,BRM Metrics and Reporting
Index Lists,LiquityHub
Index Constituents,Datalink (SRD)
EEA States,LiquityHub
Off Bal Sheet Com and Guarantees,Manual
Repos - BRM,BRM Metrics and Reporting
Tender Option Bonds,MuniTrust
Equity Swap Bridge Collateral,Arranging
Non Dated Capital Resources,Manual
PB Margin Lending,RTM -- Portfolio Margin
Primary Issuances,Manual
Tbas,MAC Allocations
Portfolio Agreement,E*GTS
Internal Coverage,Global Inventory Manager
CVA Margin Requirements,CVA Trader
CVA Netting Group - Party,CVA Trader
Unencumbered Assets - MSSB,Bank Resource Management (MSSB mainframe)
Lockup,AQUA
Stock Loan/Repo-MSSB,Bank Resource Management (MSSB mainframe)
Account Bridge,Datalink (SRD)
Long Term Debt - C1,CreditOne
Long Term Debt - DSP,Pharos (Swap Trade Capture)
GICS CLASSIFICATION,Datalink (SRD)
GWM Mortgages,PBG Finance Framework
Product Attribute,Datalink (SRD)
Funding Links,Market1
Aqua Allocations,AQUA
Equity Swap Bridge Collateral naa,Libra
MSWM FA Debit/Crdit Balance,Retail Banking Data Warehouse (RBDW)
MSWM Collateral,Retail Banking Data Warehouse (RBDW)
MSWM Branch,Retail Banking Data Warehouse (RBDW)
Long Term Debt - STS,Ripple
PB Global Assets,PB Funding engine - Coffer
Global Currency Deposits,Retail Banking Data Warehouse (RBDW)
Long Term Debt - Subledger,FDW ODESSA
CRE Loans,RESI-ALP
Intellimatch Cash,Intellimatch (Ops Control Apps)
Libra Exchange Collateral,Libra
Counterparty Issued Commercial Paper,Manual
Bloomberg Data,P2
PB Trade Date Positions,PB Funding engine - Coffer
PB Wires,PB Funding engine - Coffer
PB Margin Excess,PB Funding engine - Coffer
WM Client Assets,BaselHub
WM Wires,BaselHub
WM Free Credits,BaselHub
WM Margin,BaselHub
Taps Business Definition,Datalink (SRD)
Long Term Debt ELN,GRS
Unencumbered Asset Location,Global Inventory Manager
GWM Loans - PLA/LAL,Retail Banking Data Warehouse (RBDW)
WM Margin Loans,BaselHub
WM Shorts Longs,BaselHub
Agent Lender Disclosure,BRM Metrics and Reporting
Interest Payable-Receivable,Finance Data Warehouse
CRE Loans Collateral,CREL-AMOS
UK Client Money Protection-Aqua,AQUA
Dividends Payable-Receivable,WISE Warehouse
GWM Loans - TL,Retail Banking Data Warehouse (RBDW)
Unsecured Debt Manual,Manual
Bloomberg Central Bank Haircut,FID1
Brokered CD,Big Mac
Derivatives MTM HLBA,E*GTS
EGTS Sleeper Collateral Cusip,E*GTS
