Name,Description
Account Status,"Current status of an account, such as active or inactive"
Business Date,The date when the business transaction occurred
Cost Center Identifier,Unique identifier for each cost center within the organization
Default Setting Indicator,Indicates whether a specific account setting is set as the default option
Account Bridge Timestamp,The date and time when an account bridge was created or updated
Exception Row Indicator,A flag indicating if a row in the Account Bridge table contains exceptional or unusual data
Exception Sign-off,Indicates whether an exception has been signed off or not
Fill Forward Flag,Indicates whether the account bridge should be used for filling forward data
General Ledger Account,Unique identifier for financial transactions in the General Ledger system
Legal Entity Identifier,"Unique identifier assigned to a legal entity, such as a company or organization, for regulatory and compliance purposes"
Maturity Date,"The date when a financial instrument, such as a bond, becomes due and any outstanding principal and interest must be repaid"
Unique Identifier,A unique identifier assigned to each row in the Account Bridge table
Account Bridge Identifier,Unique identifier for each account bridge in the system
Trading Account Identifier,Unique identifier for trading accounts used for bridge transactions
Booking Details,Booking information related to financial transactions
Business Area,The primary business unit within the organization
Entity Description,"A brief textual description of an entity, such as a company or organization, represented in the system"
Business Application Access Code,Unique identifier for each business application
Division,Organizational unit within the company
Product Line,The specific product or service offered by the company
Regional Designation,Identifies the geographical region associated with a specific business area
Business Area Allocation Strategy,Specifies the strategy for allocating costs to different business areas
Business Area Activity Code,Unique identifier for each business area's activity within the organization
Business Activity Date,Date when a specific business activity occurred
Cost Center Code,A unique identifier for each cost center within the organization
Default Setting Flag,Indicates whether a default setting is applied to a specific record
Account Activity,Indicates the account activity status in the system
Timestamp,Records the exact time when a transaction or event occurs
Bond Maturity Date,Date on which a bond reaches its final maturity and the principal amount is repaid to the bondholder
Business Activity Type,The type of business activity being performed
Process Identifier,Unique identifier for each process in the system
BAAC Run Identifier,Unique identifier for each batch processing run in the BAAC system
Table Identifier,Unique identifier for each table in the system
Trading Book,A record of financial instruments and positions held by a trading desk
Account Identifier,Unique identifier for each account in the Bank Deposits Program
Account Type,Type of account held by customers in the Bank Deposits Program
Accrued Interest,The interest earned but not yet paid on a deposit account
Account Balance,The total amount of money held in a bank account
Bank Identifier,Unique identifier for each bank involved in the Bank Deposits Program
BAU Balance,"The balance of the Bank Deposits Program (BDP) account, representing the business-as-usual (BAU) deposits"
Business Account Indicator,A flag indicating whether the account is a business account or not
Option Type,Indicates whether the option is a call (C) or put (P) option in the Bank Deposits Program
Cash Flow Date,Date when cash flow occurs in the Bank Deposits Program
Source of Bank Deposit Data,"Identifies the source of the bank deposit data, such as internal or external systems"
Client Type,Type of client associated with a bank deposit program
Client Account Housekeeping,Client account maintenance and housekeeping activities
Cost Center,Organizational unit responsible for tracking costs and expenses
Counterparty Account Number,Unique identifier for the counterparty account in the Bank Deposits Program
Counterparty Type,Type of counterparty involved in a bank deposit program transaction
Currency,The currency in which the bank deposit is denominated
Currency Code,The three-letter ISO 4217 currency code representing the currency of a bank deposit
Currency 1 Amount,The amount in the first currency for each bank deposit program transaction
Currency Amount,The amount of money in a specific currency held in a bank deposit program
CUSIP,"Unique identifier for financial instruments, such as bonds, in the US and Canada"
Unique Deal Identifier,A unique alphanumeric code assigned to each deal or transaction in the Bank Deposits Program
Delivery Status,Indicates whether the program has delivered its intended functionality
Deposit Expiration Date,The date when a specific deposit in the Bank Deposits Program expires
Bank Deposit Timestamp,The date and time when a bank deposit was made
Bank Deposit Timestamps,Timestamps indicating when bank deposits are made or updated in the system
Exchange Type,Type of exchange associated with a bank deposit program transaction
Expiration Date,"Date on which a financial instrument, such as a deposit or contract, is due to expire"
Expiry Settlement Date,Date on which the bank deposit program expires and settlement occurs
Facility Identifier,Unique identifier for each facility in the Bank Deposits Program
Facility Name,Name of the facility where the bank deposit program is located
Facility Purpose,The intended use of a facility or service within the Bank Deposits Program
Facility Type,Type of facility associated with a bank deposit program
FDIC Insurance Limit,Maximum amount of deposits insured by the Federal Deposit Insurance Corporation (FDIC) for each depositor in a bank
General Ledger Account Number,Unique identifier for each financial account in the general ledger system
Insurance Coverage Indicator,Indicates whether the bank deposit is insured by a specific insurance program
Insured Deposit Amount,The amount of a deposit that is insured by a financial institution
Interest Rate,The rate at which interest is paid on deposits in the Bank Deposits Program
Bank Deposit Amount,The amount of money in a bank deposit program
Internal or External Indicator,Indicates whether the deposit is internal (from another Morgan Stanley account) or external (from an outside source)
External Interface Indicator,Indicates whether the record is related to an external interface or not
Loan Amount,The total amount of money lent to a borrower by the financial institution
Managed Account Indicator,A flag indicating whether the account is managed by an external wealth manager or not
Bank Deposit Transaction Type,Indicates whether the transaction is a buy or sell operation for a bank deposit
Internal Credit Rating,Internal credit rating assigned to a bank deposit program by Morgan Stanley
Date of Account Opening,The date when a bank account was opened or a financial product was initiated
Ownership Indicator,A code representing the ownership status of a bank deposit
Party Identifier,Unique identifier for parties involved in bank deposit transactions
Portfolio Identifier,Unique identifier for a portfolio in the Bank Deposits Program
Insurance Indicator,Indicates if insurance is associated with the bank deposit program
Product Identifier,Unique identifier for each product in the Bank Deposits Program
Product Type,Type of financial product or service offered by the Bank Deposits Program
Promotional Balance,The balance of promotional offers provided to customers in the Bank Deposits Program
Promotion Expiry Date,The date when a specific promotion or offer in the Bank Deposits Program ends
Promotional Interest Rate,Interest rate applied to promotional deposits in the Bank Deposits Program
Promotion Start Date,Date when a specific promotion in the Bank Deposits Program begins
Promotion Eligibility Indicator,A flag indicating if a customer is eligible for a promotional offer within the next 90 days
Reciprocal Program,"A program that involves mutual or shared interactions between parties, such as financial institutions or other entities."
Reporting Date,Date when the bank deposit program information is reported
Reporting Tier Bucket,Categorization of bank deposits based on their size
Reporting Tier Bucket Name,The name of the bucket in the reporting tier of the Bank Deposits Program
Reporting Tier Name,Name of the reporting tier in the Bank Deposits Program
Retirement Account Indicator,A flag indicating if a bank deposit is associated with a retirement account
Bank Deposit Program Unique Identifier,A unique identifier assigned to each run of the Bank Deposit Program
Unique Run Identifier,A unique alphanumeric identifier assigned to each execution of a program or process
Savings Program Description,A textual description of the savings program offered by the Bank Deposits Program
Strike Price,The price at which an option can be exercised in a financial contract
Deposit Type Indicator,A character string representing the type of deposit in the Bank Deposits Program
Trade Date,Date of a specific transaction in the Bank Deposits Program
Trade Identifier,Unique identifier for each trade transaction in the Bank Deposits Program
Trade Status,Current status of a trade in the Bank Deposits Program
Trust Subtype,Type of trust associated with a bank deposit program
Uninsured Deposit Amount,The amount of deposits in a bank account that is not insured by a government agency
Waterfall Phase Name,Name of the phase in the Waterfall methodology of the Bank Deposits Program
Listed Business Unit Allocation,Allocation of listed business units for cost center planning
Cost Center Parent Identifier,Unique identifier for the parent cost center in the organization
Cost Center Level 5,The fifth level of the cost center hierarchy representing specific departments or divisions within a Morgan Stanley business unit
Cost Center Level 6,Sixth level of cost center hierarchy for organization and allocation purposes
Listed Business Unit Allocation Timestamps,Timestamps indicating when specific business units were allocated in the system
Exception Signoff,A string field indicating the exception signoff status for each record
Region,Geographic location of the business operations
Record Identifier,Unique identifier for each record in the table
Run Identifier,Unique identifier for each run of a specific process or operation
Collateral Group,A group of collateral assets used to back up financial transactions
CVA Margin Requirement Timestamp,The timestamp indicating when the CVA margin requirement was created or updated
CVA Margin Requirements,The amount of collateral required to cover the potential loss on a Credit Valuation Adjustment (CVA) transaction
CVA Margin Requirements Metric,The specific metric used to calculate Credit Value Adjustment (CVA) margin requirements
Netting Group Identifier,Unique identifier for a group of financial transactions that are subject to netting
Reporting Plane Identifier,Unique identifier for each reporting plane in the CVA Margin Requirements system
Counterparty Credit Risk Margin Requirement,The amount of collateral required to cover the counterparty credit risk in a derivatives transaction
Scenario Type,Different scenarios for calculating margin requirements in the Credit Valuation Adjustment (CVA) process
Unique Identifier for CVA Margin Requirements,A unique alphanumeric code used to identify each set of margin requirements related to Credit Valuation Adjustment (CVA) in the financial institution's system
Time Horizon,The duration of time used for calculating margin requirements in the CVA model
CVA Margin Requirement,Estimated potential exposure due to changes in the credit quality of a counterparty
CVA Netting Group Type,The type of netting group used for Credit Value Adjustment (CVA) calculations
Default Set Flag,Indicates whether a party is set as the default party for netting calculations
End Date,The final date for which the CVA Netting Group is applicable
CVA Netting Group Entry Timestamp,Timestamp indicating when a record was created or updated in the CVA Netting Group database table
Credit or Debit Direction,Indicates whether the financial transaction is a credit (money received) or debit (money paid) for a specific party in the CVA Netting Group
Internal/External Indicator,Indicates whether a party is internal or external to the organization
Maximum Net Exposure,The maximum possible net exposure amount for each counterparty in a netting group
CVA Netting Group Identifier,Unique identifier for each counterparty netting group in the Credit Value Adjustment (CVA) process
Netting Indicator,Indicates whether the transaction is a net or gross transaction for the party
Regional Classification,A region code representing the geographical location of a party involved in a financial transaction
Account Description,A textual description of an account in the cash assets inventory
Branch Identifier,Unique identifier for each branch location in the financial institution
Cash Account Identifier,Unique identifier for each cash account in the inventory
Cash Account Location,Identifies the specific account location where the cash asset is held
Client Margin,The amount of margin provided by a client in their trading account
Counterparty Account,Account number of the counterparty associated with the cash asset
Cash Asset Netting Payment,"The payment made for cash asset netting, which is the process of settling the net cash positions between counterparties in a financial transaction"
Cash Asset Netting,The net amount of cash assets after accounting for all cash transactions and adjustments
Currency Type,The type of currency being used in the cash assets inventory
Cash Asset Identifier,Unique identifier for cash assets in the inventory
Cash Asset Inventory End Date,The final date for which the cash asset inventory is accurate
Cash Asset Transaction Timestamp,Records the date and time when a cash asset transaction occurred
Cash Asset Transaction Timestamps,Timestamps indicating when cash asset transactions occurred
Financial Asset Identifier,Unique identifier for financial assets in the cash assets inventory
Cash Asset Split Ranking,Ranking of cash assets after being split into different categories
Cash Asset Flow Indicator,"Indicator of the cash asset flow type, such as inflow or outflow"
Cash Asset Credit Balance,The available credit balance in cash assets for each account
Cash Assets Value,"The total value of cash assets in US Dollars, before any adjustments or netting"
Cash Asset Value,"The value of cash assets held in US Dollars, including both long and short positions"
Gross Short Position in US Dollars,"The total value of assets that have been sold short in US Dollar denominated securities, representing the potential profit from a price decline"
Internal or External Asset Indicator,A flag indicating whether an asset is held internally (true) or externally (false) by the organization
Liquidity Impact,The effect of cash assets on the overall liquidity position of the company
Maximum Cash Amount,The highest amount of cash available in the inventory
Netting Flag,Indicates whether the asset is subject to netting or not
Netting Group,A group of financial transactions that are combined for settlement purposes
Cash Asset Net Balance,The net balance of cash assets held by the financial institution
Cash Assets Inventory,"A record of the cash assets held by the financial institution, including currency, deposits, and other liquid assets"
Non-Performing Loans,Loans where the borrower has stopped making interest or principal payments and are classified as non-performing
Physical Inventory Value Max,Maximum value of the physical inventory for cash assets
Physical Inventory Value,"The actual market value of the physical assets in the inventory, in US Dollars"
Product Maturity Date,Date on which a financial product or investment reaches its maturity or expiration
Cash Asset Inventory Unique Identifier,A unique identifier assigned to each cash asset inventory record
Security Location Account,Unique identifier for the security location where the asset is held
Cash Asset Inventory Start Date,The date when the cash asset inventory was started or acquired
Trade Type,The type of trade or transaction associated with a specific cash asset
Central Bank Identifier,Unique identifier for each central bank in the system
Central Bank Access,Indicates whether the central bank has access to the system
Central Bank Access Timestamp,The exact time when the central bank access was granted or last modified
Central Bank Access Exception Signoff,Indicates whether an exception signoff is required for Central Bank access
Central Bank Access Identifier,Unique identifier for each instance of accessing the central bank's system
Cost Center Description,A brief textual representation of the purpose or function of a cost center
Cost Center Hierarchy,The top-level cost center identifier in the cost center hierarchy
Cost Center Default Setting,Indicates whether a Cost Center has a default setting or not
Cost Center Timestamps,Records the date and time when a cost center was created or updated
Cost Center Maturity Date,Date when a Cost Center was established or is expected to be fully operational
Management Region Level 1,First-level management region in the organizational structure
Management Region Level 2,Second-level management division for cost centers
Management Region Level 3,The third-level management division within the organization
Management Region Level 4,Fourth-level management division for organizational structure
Management Region Level 5,The highest level of management division within the organization
Management Region Level 6,The highest level of management hierarchy in a specific region
Management Region Level 7,The highest level of management hierarchy for regional divisions within the organization
Organizational Hierarchy,The hierarchy of cost centers within the organization
